;TEXT
Tweet1;"Telejornal traz uma entrevista ao vivo com o candidato ao governo do ES Carlos Manato PL a partir das 12h00 Confira
"
Tweet2;"No sudeste estou fechado com o PLIrei apoiar uma base forte para Alesp e Câmara FederalFaçamos campanha para Tarcísio e FelicioNo RJ apoio Cláudio Castro no ES apoio Carlos ManatoEm MG Zema
"
Tweet3;"Magno Malta Senador ESCarlos Manato Governador ES
"
Tweet4;"Quem souber quais candidatos do seu estado que têm o apoio do presidente Bolsonaro me informem pois criarei banners sobre esses candidatos
"
Tweet5;"Quem são nossos deputados estaduais Até agora está assim pra mim22  Presidente Bolsonaro22  Governador Carlos Manato222  Magno Malta2288  Marcio FurtadoEstá faltando só deputado estadual
"
Tweet6;"Pesquisa IPEC ES 1° de setembro Renato Casagrande PSB  56Carlos Manato PL 19Audifax Barcelos Rede 5Guerino Zanon PSD 5Capitão Vinícius Sousa PSTU 3Aridelmo Teixeira Novo 1Claudio Paiva PRTB 1BrancosNulos 5Não sabemNão responderam 6
"
Tweet7;"Pesquisa IPEC  Governo ESRenato Casagrande  56Carlos Manato  19Audifax Barcelos  5Guerino Zanon  5Capitão Vinícius Souza  3Aridelmo Teixeira  1Cláudio Paiva  1Brancosnulos  5Não sabem  6
"
Tweet8;"Essa semana iniciamos oficialmente nosso Podcast VALendoBatemos um papo descontraído e instigante com o candidato ao governo do nosso estado Carlos Manato PL Você confere o podcast na íntegra acessando o link
"
Tweet9;"O nosso Candidato ao Governo do Estado Carlos Manato do Partido Liberal deixou a imprensa desconcertada ao falar sobre Segurança Pública e como um governo de direita deve governar Deus Pátria Família e Liberdade Manatoes MagnoMalta
"
Tweet10;"ALFINETANDO CASAGRANDE  Com inspiração na série “A Mulher da Casa Abandonada” Carlos Manato PL candidato ao Governo do ES lança nesta segunda 22 o podcast O Homem do Palácio Abandonado O projeto conta com 4 episódios Leia mais no link
"
Tweet11;"Précandidatos do Brasil que apoiam o presidente BolsonaroGov ES  Carlos Manato PLSen ES  Magno Malta PLDep Federal ES  Tenente Assis PTB Dep Estadual ES  Romulo Lacerda PTBGov RS  Onyx Lorenzoni PLSen RS  General Mourão PRB
"
Tweet12;"Já o principal opositor e candidato do Bolsonaro Carlos Manato simplesmente pegou O JINGLE DA MARTA DE 2004 httpsyoutubecomwatchv0A85Ncno73g…
"
Tweet13;"Nova pesquisa no PollingDataGovernador ES  1º TurnoIPEC ES093852022n 608Cenário 120220817ResultadosRenato Casagrande PSB 52Carlos Manato PL 10Outros 16Não Válidos 22Link httpspollingdatacombr2022governadorest1…
"
Tweet14;"Em segundo lugar quatro candidatos estão tecnicamente empatados Carlos Manato PL Audifax Barcelos Rede Guerino Zanon PSD e Capitão Vinicius Sousa PSTU
"
Tweet15;"Ambos candidatos são fortes para desbancar Carlos Manato PL que é o candidato bolsonarista e ocupa o segundo lugar nas pesquisas Se algum candidato for para o segundo turno eles podem colocar em risco o favoritismo de Renato Casagrande PSB que está em primeiro com 52
"
Tweet16;"carlos manato fracassadooOooooo jamais vai ter capacidade d levar uma eleição pro 2o turno se fode seu merdaaaaAaaa
"
Tweet17;"Na sequência aparece o exdeputado federal Carlos Manato PL Audifax Barcelos Rede e  Guerino Zanon PSD empatados em segundo lugar dentro da margem de erro que é de quatro pontos percentuais para mais ou para menos
"
Tweet18;"Dr SérgioMoro em Vila Velha ESInfelizmente boa parte dos capixabas costumam votar nos partidos de esquerdaTomara que este ano seja diferente Governador Carlos Manato Senador Magno Malta Dep Federal Soraya Manato ou Márcio Furtado Dep Estadual 
"
Tweet19;"No Espírito Santo éCarlos Manato governadorMagno Malta senador
"
Tweet20;"Com o plano de governo debaixo do braço o candidato ao governo do ES Carlos Manato bolsonarista diz que vai erradicar a corrupção do Espírito Santo VEJA A PARTE FINAL DE SUA ENTREVISTA NA FOLHA DO ES
"
Tweet21;"No Espírito Santo éCarlos Manato governadorMagno Malta senador
"
Tweet22;"Doutor Carlos Manato Futuro Governador do Espírito Santo
"
Tweet23;"Carlos Manato é candidato ao Governo do ES e nesta primeira parte de sua entrevista foca na Saúde com fortes críticas à gestão do atual Governo do ES
"
Tweet24;"BMJNosEtsadosES Nesta sextafeira o candidato do PL ao governo do Espírito Santo o exdeputado federal Carlos Manato escolheu o presidente estadual do PTB Bruno Lourenço como candidato a vicegovernador de sua chapa 
"
Tweet25;"ELEIÇÕES 2022  O presidente do PTB no Espírito Santo Bruno Lourenço será vice na chapa de Carlos Manato PL ao Governo do Estado Leia mais no link
"
Tweet26;"POLÍTICA  O presidente Jair Bolsonaro que virá ao Espírito Santo neste sábado 23 se reuniu na tarde da última quartafeira 20 com o précandidato ao Governo do Estado pelo PL e exdeputado federal Carlos Manato no Palácio do Planalto em Brasília
"
Tweet27;"Em reunião no Palácio do Planalto nesta quarta 2007 Bolsonaro reforça apoio a Manato e Magno MaltaNosso précandidato ao governo do Espírito Santo é Carlos Manato e ao Senado Magno Malta” diz presidente em vídeo
"
Tweet28;"Políticos capixabas se calaram sobre a eleição de Mia Mamede como Miss Brasil 2022 Magno Malta Contaratao Renato Casagrande Soraya Manato Carlos Manato nenhuma palavra JEL
"
Tweet29;"Para o Espírito Santo Carlos Manato Governador Magno Malta SenadorMárcio Furtado Deputado FederalExistem excelentes opções em todos os estados temos que divulgar
"
Tweet30;"No Espírito Santo é Carlos Manato governador e Magno Malta senador 
"
Tweet31;"GovernoOnyx Lorenzoni RSJorginho Melo SCRatinho Jr PRTarcísio de Freitas SPCláudio Castro RJRomeu Zema MGCarlos Manato ESMajor Vitor Hugo GOCapitão Contar MSJoão Roma BAAnderson Ferreira PENilvan Ferreira PBCapitão Wagner CEMajor Diego Melo PIMarcos Rogério RO
"
Tweet32;"GovernoOnyx Lorenzoni RSJorginho Melo SCRatinho Jr PRTarcísio de Freitas SPCláudio Castro RJRomeu Zema MGCarlos Manato ESMajor Vitor Hugo GOCapitão Contar MSJoão Roma BAAnderson Ferreira PENilvan Ferreira PBCapitão Wagner CEMajor Diego Melo PIMarcos Rogério RO
"
