;TEXT
Tweet1;"100  Bolsonaro 1° turno
"
Tweet2;"Estão dizendo que ele mandou essa para o Ciromas mesmo assim serve pra ele tbm kkkkk
"
Tweet3;"bolsonaro seria aqueles fans que insistiriam em shippar e implicar generos em frisk e charalula seria o que choraria toda hora que qualquer youtuber faria a rota genocida e so faria a rota pacifista e tacaria só spoilerstebet iria ser fan de AUdavila ia vender plushie
"
Tweet4;"Pagando pesquisas até eu Aliás por falar em pesquisa lembra quando a datafolha disse que Bolsonaro perdia p todos Se eu fosse acreditar nessas pesquisas pagas o POSTE seria hoje o presidente da República Kkkkkkkk
"
Tweet5;"Tudo que bolsonaro fala pra vcs e ruim se ele falar que não PODE COMER MERDA pq  é ruim vcs vão disser que  que pode comer sim pq MERDA FAZ BEM PRA SAUDE assim são vcs do CONSORCIO
"
Tweet6;"Aliás em 13 anos não me lembro de uma ameaça tão clara de ditadura quando a que vemos agora no governo Bolsonaro E olha que eu não voto nem nunca votei no PT
"
Tweet7;"JAIR FLOQUINHO DE NEVEBOLSONARO CHILIQUENTO
"
Tweet8;"kkkkkkkkkkkkkkk tu é a maior aproveitadora q ja se viu nao ganha nunca mais
"
Tweet9;"O grande terenamauricio que acaba de conseguir a condenação de Bolsonaro por crimes contra a humanidade no TPP resume a dificuldade do sistema de justiça brasileiro em afastar o presidente da Funai Estamos APIB e DPU há um ano nessa luta E as mortes seguem…
"
Tweet10;"A meses a APIB junto com a DPU trava uma batalha jurídica na tentativa de pedir o afastamento de Marcelo Xavier da FUNAI por Improbidade administrativa Em recente decisão o juiz reconheceu todas as gravidades apresentadas pelas autoras
"
Tweet11;"Guardado e protegido em breve
"
Tweet12;"Ladrão é o seu presidente e os filhos dele 
"
Tweet13;"BOLSONARO é isso AÍ 
"
Tweet14;"Ou a senhora é comediante ou não tem ideia pingo de compaixão mas se até agora pensa assim nem vale a pena começarmos a falar sobre vacina Sobre o mano tenho certeza que a família Bolsonaro não vai ligar para esse mi mi mi do politicamente correto né
"
Tweet15;"Silêncio é o que um bolsonarista raiz como você faz diante de tantas  atrocidades  cometidas pelo incapaz golpista arregão mentiroso  compulsivo do presidente Bolsonaro E a compra de imóveis com dinheiro vivo  Nem um pio Isso sim vai ser estudado pelos historiadores
"
Tweet16;"Mariada48348239 me segue de volta vamos movimentar a direita em prol da reeleição de Bolsonaro e Deus como cabeça da Nação
"
Tweet17;"Hoje completa 4 anos  que Bolsonaro sofreu uma tentativa de assassinato Quem mandou matar JAIR BOLSONARO fechadooutravezcombolsonaro 
"
Tweet18;"Bolsonaro será reeleito pelo POVO BRASILEIRO no primeiro turno
"
Tweet19;"Fica difícil pra caralho obrigar alguém a ser empático quando ele não olha pra fora apenas pra dentro apenas pra si É por isso que a gente nunca vai entender qm apoia o Bolsonaro Pq o nós não somos assim nosso caráter não deixa
"
Tweet20;"Quem vota em Ciro está votando para colocar Bolsonaro no 2º turnoO candidato vai ficar em quarto e vai ser ultrapassado por Simone
"
Tweet21;"Ganância demais estraga a vida até de quem é morador de ruaFORA BOLSONARO
"
Tweet22;"ATENÇÃO Bolsonaro não quer que você veja esse vídeo Por favor repassem a informação
"
Tweet23;"Devemos eleger não só o Bolsonaro Precisamos colocar deputados e Senadores que darão respaldo ao Presidente
"
Tweet24;"Faz uma pergunta desonesta tendenciosa e depois se faz de vítima Patético
"
Tweet25;"Em missa ministro da Defesa diz que pederastas não terão lugar no céu e Bolsonaro fala em peste comunista httpsbrasil247combrasilemmissaministrodadefesadizquepederastasnaoteraolugarnoceuebolsonarofalaempestecomunistaamp… dois miseráveis que se completam
"
Tweet26;"Vou radicalizar agora Na cara do Constantino tem pentelho do Bolsonaro
"
Tweet27;"Ele é o melhor gado amigo do bolsonaro
"
Tweet28;"Bolsonaro é atacado por jornalista essa é a verdade
"
Tweet29;"B L O Q U E A D A
"
Tweet30;"
"
Tweet31;"10 da população do estado de São Paulo é NORDESTINA  Esse vídeo vai para os NORDESTINOS que vivem em São Paulo  Note tarcisiogdf  
"
Tweet32;"Me diga quem é oras complicado definir um apoio né  Por que você parte do pressuposto que que não olhei os outros candidatos Talvez você siga a fantasia de um 2º turno que não seja entre o Lula e Bolsonaro Pois então diga quem é
"
Tweet33;"PT nunca mais mas bolsonaro sim
"
Tweet34;"Por que não trabalhou corretamente quando foi presidente   Para de mentiro povo não acredita mais em você  jairbolsonaro presidente sai fora ex presidiário
"
Tweet35;"Reclamar é com o povo que elege a senhora e outros A pergunta é porque os Deputados não estão pressionando o banana do presidente do Senado a fazer algo Notas e informações a internet já tem mas atitude de parte das senhorias é que está faltando Olha a gazela saltitante
"
Tweet36;"Esse Giorge aí fã do Bolsonaro
"
Tweet37;"Em 27022019Pedófilo estimulador de narcotráfico promotor do contrabando de uísque torturador realizador de eleições fake este é um brevíssimo curriculum vitae do ditador paraguaio Alfredo Stroessnere  elogiado por Bolsonaro
"
Tweet38;"BOLSONARO CORRUPTO CHAMAR LULA LADRÃO O  STE tem que condenar TODAS as acusações feita a ele FOI ABSOLVIDO
"
Tweet39;"YouTubeBrasil o anúncio do Bolsonaro possui conteúdo enganoso o conteúdo deveria sair do ar período eleitoral e não podemos deixar a desinformação ser igual em 2018 obrigado
"
Tweet40;"Bolsonaro viu sua rejeição crescer 4 pontos em uma semana no eleitorado feminino após atacar jornalistas mulheresAí o que ele faz Ataca outraÉ mais forte que ele Serial hater
"
Tweet41;"Brazil braces for turbulence on eve of Bolsonaro’s independence day ralliesRightwing glee over president’s beach party contrasts with progressive anger that bicentennial celebration has been hijacked
"
Tweet42;"Eu não quero ser chato mas a derrota de Bolsonaro será assim também por poucos votos isso explica porque Bonner na sabatina tentou arrancar dele uma declaração de que aceitaria fosse qual fosse o resultado das eleições
"
Tweet43;"O LulaOficial disse que o jairbolsonaro usurpou o 07 de Setembro…Bom melhor usurpar data do que bilhões de reais não
"
Tweet44;"O maior propagador de ódio mais até que Bolsonaro A hipocrisia não tem limites e o ego superlativo
"
Tweet45;"Não podemos ir para esta eleição tomados de ódios ou paixões despolitizadas e superficiais O Brasil não aguenta mais Eu quero ser o presidente que vai reconciliar nosso país ao redor de uma ideiaforça de um PROJETO de nação
"
Tweet46;"Por que só os jornalistas tem o direito de agredirVocês não tiram o nome de Bolsonaro da boca o tempo todo quem está por trás dessa perseguição
"
Tweet47;"Patriotas não votam em ladroes Lula é ladrão
"
Tweet48;"Lindo de mais BRASIL mundo afora Eu recebi um vídeo de manifestantes com BOLSONARO da inglaterra mas não estou encontrando para divulgar Alguém tem e pode me passar Obrigada
"
Tweet49;"Nossa agora vai  
"
Tweet50;"A Mansão do Bolsonaro na Vila Histórica de MAMBUCABACHUPA ESQUERDA ESCROTA
"
Tweet51;"os mesmo q nunca dobram os joelhos em oração sobre o Brasil mas querem sempre tá fazendo textinho na Internet me poupe Não apoio o Bolsonaro e muito menos o outro lado mas sei respeitar às opiniões de cada um e ainda mais de alguém que admiro pra caramba
"
Tweet52;"Virou moda jornalistas mulheres fazem perguntas levianas e irresponsáveis e querem respostas sem tom de indignação Bolsonaro foi eleito justamente porque não perdeu a capacidade de espanto Com ele é assim bateu levou Aguentem
"
Tweet53;"LeoniceMariana1 me segue de volta vamos movimentar a direita em prol da reeleição de Bolsonaro
"
